Title,Style,Size,OG,FG,ABV,IBU,Color
Diamond Chocolate Coffee Porter,Robust Porter,5 Gallons,1.075,1.019,7.43,80.54,36.04 °L
Brut IPA,American IPA,3.5 Gallons,1.062,1.01,6.74,44.78,6.21 °L
Christmas Spiced Mead,Metheglin,1 Gallons,1.154,1.035,15.68,0,15.05 °L
Coopers Sparkling Ale Clone,Australian Sparkling Ale,40 Litres,1.045,1.005,5.29,32.92,5.73 °L
Lord Vader Imperial Stout,Imperial Stout,5 Gallons,1.096,1.019,10.12,57.03,50 °L
Pale Ale 23L,American Pale Ale,23 Litres,1.045,1.009,4.77,34.04,5.44 °L
Dogfish Head 60 Minute IPA,American IPA,14 Litres,1.063,1.014,6.42,71.94,6.82 °L
Deschutes Mirror Pond Pale Ale Clone,American Pale Ale,5.25 Gallons,1.057,1.018,5.08,57.71,6.58 °L
Pineapple IPA,American IPA,5.5 Gallons,1.062,1.017,5.88,65.77,7.04 °L
Augustiner Helles Clone,Munich Helles,25 Litres,1.052,1.013,5.08,17.73,4.95 °L
Maple Bourbon Porter,Robust Porter,5.5 Gallons,1.062,1.012,6.5,35.82,27.53 °L
British Golden Ale,British Golden Ale,5.5 Gallons,1.05,1.012,4.98,21.65,4.28 °L
Tap Room American Brown,American Brown Ale,5 Gallons,1.072,1.018,7.07,32.35,22.88 °L
Imperial Stout,Imperial Stout,3 Gallons,1.091,1.015,9.96,64.6,50 °L
Hoppy Pils,German Pilsner (Pils),5 Gallons,1.052,1.015,4.92,50.55,4.24 °L
Raging Bitch Clone,Imperial IPA,5.5 Gallons,1.088,1.023,8.53,80.6,12.22 °L
Ginger Whirlwind - Golden Ginger Ale,American Pale Ale,5.5 Gallons,1.059,1.015,5.75,35.38,4.98 °L
Arrogant Bastard Clone,American Amber Ale,5.5 Gallons,1.066,1.015,6.74,96.59,19.03 °L
Bell's Two Hearted Ale Clone,American IPA,5.5 Gallons,1.067,1.014,7,51.8,5.6 °L
Oktoberfest,Oktoberfest/Märzen,5.5 Gallons,1.062,1.015,6.06,42.99,9.25 °L
05 TINY DARK ATOMS,Imperial Stout,500 Litres,1.155,1.046,14.25,34.61,50 °L
Kristallweizen,Weizen/Weissbier,5.5 Gallons,1.057,1.014,5.6,20.73,4.22 °L
Accumulation IPA Clone,Specialty IPA: White IPA,5.5 Gallons,1.064,1.016,6.41,56.13,4.22 °L
Jacobsen Golden Naked Christmas Ale - 23L,Belgian Blond Ale,23 Litres,1.074,1.018,7.34,23.25,8.79 °L
Munich Dunkel (BYO),Munich Dunkel,6.83 Gallons,1.051,1.01,5.36,19.91,23.41 °L
Fresh Squeezed Clone,American IPA,5.5 Gallons,1.066,1.018,6.24,58.86,11.58 °L
Dos Equis Amber Clone #1,Vienna Lager,5.5 Gallons,1.049,1.012,4.87,22.15,10.3 °L
GOAT HAZY IPA 23L,Specialty IPA: New England IPA,23 Litres,14.441,2.94,6.2,23.07,5.7 °L
Shepherd Neame Spitfire Clone,Strong Bitter,22 Litres,1.055,1.011,5.75,34.89,10.64 °L
ESB (Single Hop: EKG),Extra Special/Strong Bitter (ESB),10 Litres,1.057,1.014,5.75,34.85,9.74 °L
Maine Lunch Clone,American IPA,5.5 Gallons,1.059,1.013,6.04,101.13,7.25 °L
Old Rasputin Clone,Russian Imperial Stout,5.5 Gallons,1.09,1.021,8.99,72.81,32.93 °L
Chocolate Hazelnut Porter,Brown Porter,6 Gallons,1.069,1.017,6.77,36.2,40 °L
Kiwanda Cream Ale,Cream Ale,6 Gallons,1.048,1.008,5.21,17.09,3.08 °L
Negra Modelo Clone,Vienna Lager,6 Gallons,1.054,1.013,5.38,24,13.76 °L
Stout - Young Clone,Oatmeal Stout,21 Gallons,1.061,1.021,5.29,30.42,30.87 °L
Amazing Haze 7%,American IPA,23 Litres,1.059,1.014,5.87,67.12,4.55 °L
Mexican Vienna (Victoria Clone),Vienna Lager,45 Gallons,1.044,1.011,4.32,20.94,7.19 °L
Oktoberfest / Marzen,Märzen,5.5 Gallons,1.058,1.018,5.29,17.82,9.24 °L
Farmhouse Saison Pepper/Lemon,Saison,11 Gallons,1.05,1.01,5.27,28.86,3.37 °L
Tripel Karmeliet Original 17th Century Recipe,Belgian Tripel,6 Gallons,1.09,1.022,9.02,35.41,4.54 °L
George Washington's Small Beer,Specialty Beer,1 Gallons,1.049,1.011,4.94,30.28,1.97 °L
Bakke Brygg Pale Ale 5 L,American Pale Ale,5 Litres,1.053,1.011,5.55,37.88,6.16 °L
Coconut Porter,American Porter,5.5 Gallons,1.065,1.015,6.54,42.05,35.78 °L
"Einstok Olgerd, White Ale Clone",Witbier,40 Litres,1.049,1.012,4.88,10.62,5.21 °L
Bakke Brygg Pale Ale 25 L,American Pale Ale,25 Litres,1.053,1.011,5.55,37.36,6.16 °L
Pacifico Clone,American Light Lager,5.5 Gallons,1.048,1.012,4.74,13.4,2.92 °L
Maple Imperial Breakfast Stout,Imperial Stout,6 Gallons,1.105,1.023,11.99,48.47,50 °L
Guinness Stout Clone,Dry Stout,12 Gallons,1.05,1.013,4.87,42.01,34.22 °L
NEIPA #07: Sabro/Azacca/Motueka,Specialty IPA: New England IPA,5.5 Gallons,1.081,1.013,8.94,64.11,5.4 °L
Peach Wheat,Fruit Beer,6 Gallons,1.053,1.013,5.25,30.24,6.32 °L
Salted Caramel Chocolate Stout,Sweet Stout,10 Litres,1.059,1.015,5.76,28.62,37.9 °L
Spiced Winter Ale,Winter Seasonal Beer,20 Litres,1.091,1.025,8.56,22.54,30.06 °L
04 BELGIAN DARK ALE,Belgian Dark Strong Ale,550 Litres,1.114,1.015,13.05,22,28.9 °L
Russian Imperial Stout Blend,Russian Imperial Stout,5.75 Gallons,1.111,1.031,10.52,93.43,40 °L
Gulden Draak Clone,Belgian Dubbel,5.5 Gallons,1.083,1.011,9.5,23.86,11.86 °L
Peanut Butter Porter,English Porter,5.5 Gallons,1.067,1.024,5.68,22.71,35.03 °L
Fuller's London Pride,Special/Best/Premium Bitter,12 Gallons,1.043,1.01,4.39,36.59,12.56 °L
Belgian Quad,Belgian Dark Strong Ale,10 Gallons,1.101,1.023,10.2,24.55,33.99 °L
Blood & Honey Clone,American Wheat Beer,5.5 Gallons,1.067,1.013,7.14,21.03,4.15 °L
Brooklyn Lager Clone (Brooklyn Brewery),Vienna Lager,5.5 Gallons,1.055,1.015,5.27,34.54,9.1 °L
Imperial Red Ale,American Strong Ale,6.5 Gallons,1.086,1.024,8.18,69.51,17.95 °L
Peroni,Bohemian Pilsener,44 Litres,1.052,1.012,5.25,14.54,3.95 °L
Blueberry Wheat,American Wheat Beer,5.5 Gallons,1.053,1.012,5.33,20.19,3.98 °L
Sierra Nevada Torpedo Clone,American IPA,5.5 Gallons,1.062,1.014,6.18,56,6.68 °L
Fuller's London Porter Clone BYO,Brown Porter,5.5 Gallons,1.055,1.017,5.01,30.94,33.18 °L
Pataskala Clone,Specialty IPA: Red IPA,11 Gallons,1.061,1.011,6.62,83.21,14.21 °L
Belma Kveik Pale Ale,American Pale Ale,5.5 Gallons,1.06,1.012,6.26,43.75,5.84 °L
21st Amendment's Brew Free! Or Die IPA Clone,American IPA,5.25 Gallons,1.072,1.022,6.58,70.58,6.12 °L
Dirty Bastard Clone,Strong Scotch Ale,5.5 Gallons,1.081,1.016,8.46,53.49,22.41 °L
Dragon's Blood Mead,Other Fruit Melomel,5.5 Gallons,1.119,1.001,15.48,0,4.78 °L
Marzen/Oktoberfest,Märzen,5.5 Gallons,1.06,1.011,6.54,26.23,10.82 °L
Dreaded  Southern Brown Ale - Maris Otter,Southern English Brown,12 Gallons,1.056,1.015,5.42,13.1,20.14 °L
Sumpin' Like Little Sumpin' Sumpin' Wheat IPA,Imperial IPA,20 Litres,1.074,1.017,7.47,61.78,4.58 °L
Peach Milkshake IPA,American IPA,5 Gallons,1.083,1.016,8.79,254.35,5.38 °L
Authentic Bamberg Rauchbier (BYO),Classic Style Smoked Beer,22 Litres,1.056,1.009,6.18,40.45,17.02 °L
Pale Pilsner Ale,Standard/Ordinary Bitter,22 Litres,1.051,1.014,4.86,43.78,5.24 °L
Chocolate Peanut Butter Porter,American Porter,10 Gallons,1.079,1.026,6.94,9.49,35.98 °L
Irish Sunset,Irish Red Ale,21 Litres,1.052,1.012,5.27,30.16,13.96 °L
Chocolate Peanut Butter Milk Stout,Sweet Stout,6 Gallons,1.061,1.019,5.48,31.86,37.99 °L
Xocoveza Clone,American Stout,8 Gallons,1.083,1.023,7.88,36.04,50 °L
Lily's Irish Red Ale - Sam Adams Clone,Irish Red Ale,5 Gallons,1.071,1.02,6.68,47.8,27.44 °L
Talus A Trippel Like... BIPA,Belgian Golden Strong Ale,14 Gallons,1.075,1.009,8.59,65.83,6.78 °L
Bakke Brygg JuleAle 2016 20 L,American Brown Ale,20 Litres,1.064,1.014,6.54,42.81,21.63 °L
No Corn Syrup June 19,International Pale Lager,5.5 Gallons,1.056,1.014,5.52,16.82,5.21 °L
Yorkshire Bitter,Best Bitter,23 Litres,1.042,1.012,3.93,33.04,9.63 °L
Bohemian Pilsner,Bohemian Pilsener,6 Gallons,1.056,1.014,5.48,37.41,3.84 °L
Honey Brown Ale,Mild,5 Gallons,1.049,1.012,4.77,20.61,17.4 °L
Punk IPA (if Brewdog Were Trill),American Pale Ale,23 Litres,1.06,1.014,6.09,38.22,5.5 °L
Rochefort 10 Clone,Belgian Dark Strong Ale,5.5 Gallons,1.109,1.027,10.72,41.9,40 °L
Grapefruit Honey Ale,American IPA,1 Gallons,1.057,1.016,5.38,43.4,7.1 °L
Peach Pale Ale,American Pale Ale,5.5 Gallons,1.05,1.01,5.31,39.92,5.19 °L
HAZY AMERICAN IPA. TROPICAL-CITRUS,American IPA,18 Litres,1.059,1.016,5.7,56.27,5.4 °L
Wit0915,Witbier,23 Litres,1.05,1.012,4.96,16.25,4.64 °L
AleSmith IPA Clone - 20L,American IPA,20 Litres,1.084,1.019,8.57,42.29,11.22 °L
Anchor Liberty Ale Clone,American Pale Ale,5 Gallons,1.058,1.015,5.61,41.16,4.3 °L
Orange Creamsicle Ale,Cream Ale,5 Gallons,1.05,1.012,4.98,12.59,2.95 °L
Hunahpu (clone),Russian Imperial Stout,6 Gallons,1.13,1.042,11.5,80.38,40 °L
Southern Tier Creme Brulee Clone,Sweet Stout,5.5 Gallons,1.108,1.03,10.3,17.27,50 °L
Gumball Head Clone,American Wheat or Rye Beer,5 Gallons,1.051,1.013,5.1,19.57,5 °L
Franziskaner Clone,Weissbier,6 Gallons,1.045,1.005,5.24,15.71,2.84 °L
120 Minute IPA Clone,Imperial IPA,10.5 Gallons,1.189,1.038,19.85,75.55,6.79 °L
Murphy's Stout Clone,Irish Stout,5 Gallons,1.055,1.014,5.4,40.24,50 °L
Green Flash West Coast IPA Clone,American IPA,5 Gallons,1.075,1.017,7.63,109.9,8.32 °L
Treehouse Julius,American IPA,5.5 Gallons,1.066,1.015,6.7,80.21,7.32 °L
Prickly Pear Ipa,American IPA,6 Gallons,1.056,1.003,7.04,48.14,14.49 °L
NHC Award Winning Cream Ale,Cream Ale,2.5 Gallons,1.054,1.006,6.29,16.46,3.01 °L
043: Grisette,Saison,40 Litres,1.031,1.006,3.22,30.18,2.12 °L
Pliny The Elder W/ Original Recipe Sheet,American IPA,6 Gallons,1.072,1.011,8.07,237.34,5.91 °L
Dos Equis Clone,American Amber Ale,5.5 Gallons,1.055,1.013,5.53,15.81,10.07 °L
Mango Milkshake IPA,American IPA,5.5 Gallons,1.066,1.019,6.14,65.66,5.75 °L
Electric IPA,American IPA,12 Gallons,1.063,1.014,6.55,59.25,6.73 °L
American Wheat IPA,American IPA,5 Gallons,1.074,1.018,7.36,96.78,4.94 °L
Traditional German Gose,Gueuze,11 Gallons,1.049,1.01,5.11,10.23,4.47 °L
Banana Hefeweizen,Weissbier,11 Gallons,1.058,1.008,6.59,8.71,4.4 °L
Bakke Brygg American Red Ale 25 L,American Amber Ale,25 Litres,1.065,1.015,6.61,65.32,16.19 °L
