Title,Style,Size,OG,FG,ABV,IBU,Color
Guinness Clone,Dry Stout,5.5 Gallons,1.046,1.011,4.7,34.6,42.11 °L
Belgian Strong Pale - La Chouffe,Belgian Golden Strong Ale,5 Gallons,1.07,1.008,8.14,24.96,4.28 °L
VGB Paulaner Hefe-Weissbier Clone,Weissbier,40 Litres,1.057,1.012,5.82,14.7,7.68 °L
Tripel Karmeliet Clone,Belgian Tripel,5.5 Gallons,1.08,1.01,9.17,24.66,4.06 °L
Leffe Blonde Clone,Belgian Blond Ale,5.5 Gallons,1.066,1.013,6.88,17.39,6.58 °L
Stella Artois Clone,Bohemian Pilsener,5.5 Gallons,1.053,1.011,5.5,23.49,3.73 °L
Belgian Wit,Witbier,5.5 Gallons,1.05,1.013,4.85,18.9,3.33 °L
Syntax Error IPA II,American IPA,42 Litres,1.068,1.013,7.2,105.67,7.77 °L
Elvis Juice V2.0,American IPA,20 Litres,1.059,1.01,6.45,32.49,6.76 °L
Trillium Inspired Pale Ale Clone,Double IPA,5.5 Gallons,1.07,1.017,7.01,72.7,5.67 °L
Awesome Mexican Lager,Premium American Lager,5.5 Gallons,1.05,1.013,4.89,22.58,4.95 °L
Jeremiah Red Clone,Irish Red Ale,5 Gallons,1.068,1.014,7.07,29.03,16.04 °L
Chocolate Peanut Butter Oatmeal Stout,Oatmeal Stout,5.5 Gallons,1.069,1.02,6.39,28.69,40 °L
Stone IPA Clone,American IPA,5.5 Gallons,1.079,1.025,7.11,77.71,6.22 °L
Mosaic IPA,American IPA,5 Gallons,1.074,1.018,7.24,67.25,7.68 °L
NEIPA,Specialty IPA: New England IPA,20 Litres,1.065,1.017,6.33,54.88,5.64 °L
All Grain American Honey Wheat,American Wheat or Rye Beer,5 Gallons,1.06,1.014,5.97,27.74,3.76 °L
Bakke Brygg Julelager 25 L,Traditional Bock,25 Litres,1.067,1.017,6.53,26.69,18.96 °L
Cigar City Jai Alai Clone,Imperial IPA,5.5 Gallons,1.075,1.019,7.89,89.8,11.3 °L
Kama Citra Session IPA,American IPA,5.5 Gallons,1.05,1.01,5.31,48.96,7.35 °L
1664 Blanc Clone,Witbier,25 Litres,1.057,1.012,5.87,23.21,3.11 °L
Classic German Hefe Weissbier,Weizen/Weissbier,5 Gallons,1.056,1.014,5.5,16.26,3.99 °L
Sam Adams Octoberfest Clone,Oktoberfest/Märzen,5 Gallons,1.072,1.021,6.65,28.22,40.98 °L
Old Speckled Hen (clone),Extra Special/Strong Bitter (ESB),21 Litres,1.052,1.012,5.33,34.5,10.11 °L
Delirium Tremens Clone,Belgian Golden Strong Ale,5 Gallons,1.074,1.012,8.18,19.2,3.54 °L
Pliny The Younger Clone,Imperial IPA,6 Gallons,1.102,1.023,10.34,113.05,6.34 °L
Hill Farmstead Edward Clone,American Pale Ale,2.8 Gallons,1.054,1.013,5.32,49.47,4.65 °L
Yuengling Clone,American Lager,6 Gallons,1.05,1.015,4.62,16.77,6.1 °L
Kozel Dark Clone,Czech Dark Lager,22 Litres,1.042,1.007,4.7,35.22,21.87 °L
Bakke Brygg Robust Porter 50 L,Robust Porter,50 Litres,1.06,1.015,5.93,36.24,34.44 °L
Fullers London Pride,Best Bitter,25 Litres,1.048,1.015,4.33,36.14,11.27 °L
Orange Mohawk (Shock Top Clone),Witbier,11 Gallons,1.052,1.013,5.22,14.55,4.31 °L
Fat Head's Headhunter IPA Clone,American IPA,11 Gallons,1.072,1.014,7.52,80.4,7.3 °L
Nugget Nectar Clone,American Amber Ale,5 Gallons,1.075,1.009,7.5,93,8.48 °L
Leffe Clone - 20L,Belgian Blond Ale,20 Litres,1.069,1.022,6.14,25.48,10.28 °L
Hazy IPA_ Hazy Little Thing,Specialty IPA: White IPA,18 Litres,1.076,1.023,6.99,64.51,5.94 °L
Smithwick's Irish Ale,Irish Red Ale,5 Gallons,1.046,1.011,4.5,25.27,16.76 °L
Summer Citra Kölsch (a Successful Experiment),Kölsch,5.5 Gallons,1.049,1.012,4.84,25.55,3.79 °L
NEIPA,American IPA,6.5 Gallons,1.058,1.015,5.73,34.94,5.6 °L
Probably The Best Stout,Russian Imperial Stout,10.5 Gallons,1.08,1.017,8.31,63.23,35.91 °L
German Kolsch,Kölsch,5.5 Gallons,1.046,1.008,5,30.83,3 °L
Breck Vanilla Porter Clone,Robust Porter,6 Gallons,1.053,1.012,5.38,16.6,46.1 °L
Bakke Brygg Imperial Stout 20 L,Russian Imperial Stout,20 Litres,1.098,1.025,9.67,69.25,50 °L
Mango Maya Milkshake IPA,Specialty IPA: New England IPA,5 Gallons,1.094,1.031,8.28,48.9,7.65 °L
Mac & Jacks African Amber Clone,American Amber Ale,5.5 Gallons,1.057,1.015,5.41,31.25,13.33 °L
Helles Lager,Munich Helles,5.5 Gallons,1.048,1.011,4.9,20.26,3.4 °L
Founders Breakfast Stout Clone,Imperial Stout,5 Gallons,1.086,1.021,8.46,60.95,50 °L
FAT YAK,American Pale Ale,20 Litres,1.055,1.014,5.46,35.01,8.06 °L
Yeti Imperial Stout (Great Divide Clone),Russian Imperial Stout,5.5 Gallons,1.09,1.019,9.26,75.05,50 °L
Hazed And Confused (New England Double IPA),Double IPA,5.5 Gallons,1.097,1.027,9.11,54.52,8.01 °L
Asamushi Japanese Dry Pilsner,Classic American Pilsner,3.5 Gallons,1.054,1.012,5.46,22.25,3.13 °L
Blue Moon (Clone),American Light Lager,6 Gallons,1.049,1.012,4.78,5.04,3.94 °L
Traditional Dunkelweizen,Dunkelweizen,5.25 Gallons,1.057,1.014,5.59,12.13,15.39 °L
Delirium Tremens Clone,Belgian Golden Strong Ale,19 Litres,1.09,1.022,8.97,31.75,5.64 °L
Citra Pale Ale Recipe,American Pale Ale,5.5 Gallons,1.057,1.014,5.64,36.05,6.85 °L
Newcastle Brown Ale Clone,Northern English Brown,6 Gallons,1.051,1.012,5.08,27.79,15.04 °L
