Recipe Name,Recipe URL,Beer Style,Brewer,Stats
Valbrygg Golden Pils Batch 101,https://beersmithrecipes.com/viewrecipe/5177242/valbrygg-golden-pils-batch-101,Tysk Pilsner ( 1D),Valbrygg,"OG: 1.049 (12.1° P), Bitterness: 32.8 IBUs, ABV: 5.3 %"
Valbrygg Golden Ale Batch 102,https://beersmithrecipes.com/viewrecipe/5177241/valbrygg-golden-ale-batch-102,American Pale Ale (10A),Valbrygg,"OG: 1.049 (12.1° P), Bitterness: 32.8 IBUs, ABV: 5.3 %"
Valbrygg Golden Sur Batch 104,https://beersmithrecipes.com/viewrecipe/5177240/valbrygg-golden-sur-batch-104,Brett Beer (28A),Valbrygg,"OG: 1.049 (12.1° P), Bitterness: 33.0 IBUs, ABV: 5.2 %"
'Murican Pale Ale,https://beersmithrecipes.com/viewrecipe/863606/murican-pale-ale,American Pale Ale (10A),yeastieboysbrewing,"OG: 1.055 (13.5° P), Bitterness: 35.1 IBUs, ABV: 5.3 %"
Tmave Pivo,https://beersmithrecipes.com/viewrecipe/4211183/tmave-pivo,Czech Dark Lager (3D),Pmalo,"OG: 1.046 (11.6° P), Bitterness: 24.9 IBUs, ABV: 4.5 %"
Raspberry Berliner Weisse,https://beersmithrecipes.com/viewrecipe/3930318/raspberry-berliner-weisse,Berliner Weisse (23A),icdibble,"OG: 1.035 (8.9° P), Bitterness: 5.9 IBUs, ABV: 3.9 %"
Czech Pilsner,https://beersmithrecipes.com/viewrecipe/5087444/czech-pilsner,Czech Premium Pale Lager (3B),vkrishan,"OG: 1.053 (13.2° P), Bitterness: 35.3 IBUs, ABV: 5.3 %"
Red Irish Ale,https://beersmithrecipes.com/viewrecipe/4386407/red-irish-ale,Irish Red Ale (15A),bsp0466,"OG: 1.048 (11.9° P), Bitterness: 16.2 IBUs, ABV: 4.6 %"
Hoppy Pils,https://beersmithrecipes.com/viewrecipe/2849693/hoppy-pils,New Zealand Pilsner (X.5),HallPassBrewers,"OG: 1.051 (12.6° P), Bitterness: 29.7 IBUs, ABV: 5.3 %"
Pacific Coast Hoppy Pilsner,https://beersmithrecipes.com/viewrecipe/5068297/pacific-coast-hoppy-pilsner,American Lager ( 1B),Dibbs,"OG: 1.048 (12.0° P), Bitterness: 42.1 IBUs, ABV: 5.6 %"
CJ20 LAGER IPA,https://beersmithrecipes.com/viewrecipe/5175391/cj20-lager-ipa,Czech Amber Lager ( 3C),Lletus1962,"OG: 1.054 (13.3° P), Bitterness: 50.9 IBUs, ABV: 5.1 %"
Solhagabryggeri's No More Segregation IPA,https://beersmithrecipes.com/viewrecipe/5146936/solhagabryggeris-no-more-segregation-ipa,Double IPA (22A),MagnusWest,"OG: 1.075 (18.2° P), Bitterness: 79.5 IBUs, ABV: 8.0 %"
HELLES,https://beersmithrecipes.com/viewrecipe/4541832/helles,German Pils ( 5D),LPRANTNER,"OG: 1.047 (11.7° P), Bitterness: 29.5 IBUs, ABV: 4.9 %"
Trumpeter Hefeweizen 7bbl,https://beersmithrecipes.com/viewrecipe/3125069/trumpeter-hefeweizen-7bbl,South German-Style Hefeweizen (71 ),Schwahnny42,"OG: 1.055 (13.5° P), Bitterness: 11.8 IBUs, ABV: 5.5 %"
Hefeweizen (GSteel),https://beersmithrecipes.com/viewrecipe/3514804/hefeweizen-gsteel,Weissbier (10A),GrahamSteel,"OG: 1.049 (12.2° P), Bitterness: 13.0 IBUs, ABV: 4.8 %"
ALE: MB: Belgian Pale Turned Into Hoppy Saison 5gal,https://beersmithrecipes.com/viewrecipe/5157955/ale-mb-belgian-pale-turned-into-hoppy-saison-5gal,Saison (25B),jacksw02,"OG: 1.062 (15.1° P), Bitterness: 30.9 IBUs, ABV: 7.3 %"
ALE: MB: Belgian Pale Turned Into Hoppy Saison 5gal,https://beersmithrecipes.com/viewrecipe/5157955/ale-mb-belgian-pale-turned-into-hoppy-saison-5gal,Saison (25B),jacksw02,"OG: 1.062 (15.1° P), Bitterness: 30.9 IBUs, ABV: 7.3 %"
Ale: AlwaysOnTap: Pale Ale 5gal,https://beersmithrecipes.com/viewrecipe/5174030/ale-alwaysontap-pale-ale-5gal,American Pale Ale (18B),jacksw02,"OG: 1.051 (12.7° P), Bitterness: 45.8 IBUs, ABV: 5.6 %"
Helles Bock,https://beersmithrecipes.com/viewrecipe/5139622/helles-bock,Helles Bock ( 4C),Dibbs,"OG: 1.068 (16.7° P), Bitterness: 24.1 IBUs, ABV: 7.1 %"
Japanese IPA,https://beersmithrecipes.com/viewrecipe/4522879/japanese-ipa,American Amber Ale ( 6B),DayBlockBrew,"OG: 1.050 (12.4° P), Bitterness: 24.4 IBUs, ABV: 5.1 %"
Oompahpah Oktoberfest 2025,https://beersmithrecipes.com/viewrecipe/5163587/oompahpah-oktoberfest-2025,Märzen ( 6A),MGH,"OG: 1.058 (14.2° P), Bitterness: 21.3 IBUs, ABV: 5.9 %"
Sleetmoor 2024 Christmas Ale,https://beersmithrecipes.com/viewrecipe/5173498/sleetmoor-2024-christmas-ale,Old Ale (17B),mickybrew,"OG: 1.081 (19.5° P), Bitterness: 34.6 IBUs, ABV: 8.9 %"
Chocolate/Vanilla Milk Stout (GSteel),https://beersmithrecipes.com/viewrecipe/3489190/chocolate-vanilla-milk-stout-gsteel,Sweet Stout (16A),GrahamSteel,"OG: 1.058 (14.3° P), Bitterness: 33.0 IBUs, ABV: 5.0 %"
City of the Sun (Dec. 2021),https://beersmithrecipes.com/viewrecipe/3919787/city-of-the-sun-dec-2021,American IPA (14B),bobssvcctr,"OG: 1.066 (16.1° P), Bitterness: 73.0 IBUs, ABV: 7.0 %"
Might As Well Mow The Lawn 5g,https://beersmithrecipes.com/viewrecipe/5140402/might-as-well-mow-the-lawn-5g,Cream Ale ( 1C),ShinyHeadBrewer,"OG: 1.047 (11.7° P), Bitterness: 12.5 IBUs, ABV: 4.9 %"
Winter is Coming v6.**** -- Belgian Dark Strong Ale - 2025,https://beersmithrecipes.com/viewrecipe/5171562/winter-is-coming-v6-belgian-dark-strong-ale-2025,Belgian Dark Strong Ale (26D),emichon,"OG: 1.106 (25.1° P), Bitterness: 13.2 IBUs, ABV: 11.9 %"
Blue Moon Clone,https://beersmithrecipes.com/viewrecipe/887445/blue-moon-clone,American Wheat or Rye Beer (6D),gatsby174,"OG: 1.054 (13.4° P), Bitterness: 18.4 IBUs, ABV: 5.6 %"
Clemens Honey Stout - 12 gal,https://beersmithrecipes.com/viewrecipe/2090109/clemens-honey-stout-12-gal,Imperial Stout (20C),stevclem,"OG: 1.099 (23.5° P), Bitterness: 73.4 IBUs, ABV: 10.0 %"
Belgian Circus 5g,https://beersmithrecipes.com/viewrecipe/5171430/belgian-circus-5g,Belgian Golden Strong Ale (18D),ShinyHeadBrewer,"OG: 1.088 (21.1° P), Bitterness: 24.4 IBUs, ABV: 9.7 %"
Belgian Circus 1.2,https://beersmithrecipes.com/viewrecipe/1443460/belgian-circus-12,Belgian Golden Strong Ale (18D),ShinyHeadBrewer,"OG: 1.082 (19.9° P), Bitterness: 27.9 IBUs, ABV: 9.1 %"
Bowie In Space Anvil 10.5,https://beersmithrecipes.com/viewrecipe/4897648/bowie-in-space-anvil-105,Specialty IPA: New England IPA (21B),HiawathaBrewing,"OG: 1.073 (17.7° P), Bitterness: 79.5 IBUs, ABV: 7.3 %"
WeldWerks Brewing Co. Juicy Bits New England–Style IPA Anvil 10.5,https://beersmithrecipes.com/viewrecipe/4957176/weldwerks-brewing-co-juicy-bits-new-england-style-ipa-anvil-105,American IPA (21A),HiawathaBrewing,"OG: 1.066 (16.2° P), Bitterness: 46.4 IBUs, ABV: 6.4 %"
Jurassic Juice Hazy IPA,https://beersmithrecipes.com/viewrecipe/4957074/jurassic-juice-hazy-ipa,Hazy IPA (21C),HiawathaBrewing,"OG: 1.057 (14.1° P), Bitterness: 31.5 IBUs, ABV: 5.8 %"
Vail Franconian Rotbier,https://beersmithrecipes.com/viewrecipe/5119273/vail-franconian-rotbier,Märzen (6A),HiawathaBrewing,"OG: 1.055 (13.5° P), Bitterness: 22.5 IBUs, ABV: 5.4 %"
Ute Watermelon Blonde Ale Anvil 10.5,https://beersmithrecipes.com/viewrecipe/4940989/ute-watermelon-blonde-ale-anvil-105,Blonde Ale (6B),HiawathaBrewing,"OG: 1.058 (14.2° P), Bitterness: 25.3 IBUs, ABV: 5.5 %"
Rockaway Chocolate Peanut Butter Stout 2 Batch 2,https://beersmithrecipes.com/viewrecipe/5104363/rockaway-chocolate-peanut-butter-stout-2-batch-2,Sweet Stout (16A),HiawathaBrewing,"OG: 1.059 (14.5° P), Bitterness: 29.5 IBUs, ABV: 7.3 %"
Rockaway Chocolate Peanut Butter Stout 2,https://beersmithrecipes.com/viewrecipe/4871365/rockaway-chocolate-peanut-butter-stout-2,Sweet Stout (16A),HiawathaBrewing,"OG: 1.059 (14.5° P), Bitterness: 29.5 IBUs, ABV: 6.6 %"
Rockaway Chocolate Peanut Butter Stout 2,https://beersmithrecipes.com/viewrecipe/4871365/rockaway-chocolate-peanut-butter-stout-2,Sweet Stout (16A),HiawathaBrewing,"OG: 1.059 (14.5° P), Bitterness: 29.5 IBUs, ABV: 6.6 %"
Rockaway Chocolate Peanut Butter Stout,https://beersmithrecipes.com/viewrecipe/4870758/rockaway-chocolate-peanut-butter-stout,Sweet Stout (16A),HiawathaBrewing,"OG: 1.075 (18.3° P), Bitterness: 25.8 IBUs, ABV: 8.3 %"
